,0
2100,552
2101,1044
2102,925
2103,2003
2104,995
2105,11876
2106,314
2107,843
2108,1098
2109,5186
2110,1720
2111,756
2112,8910
2113,38456
2114,1010
2115,7016
2116,283
2117,9688
2118,590
2119,732
2120,1109
2121,194
2122,6463
2123,1016
2124,3567
2125,651
2126,9253
2127,1225
2128,10085
2129,16288
2130,177
2131,681
2132,772
2133,24126
2134,54642
2135,15939
2136,7689
2137,3314
2138,10675
2139,241
2140,10017
2141,9012
2142,41040
2143,17964
2144,2501
2145,12543
2146,3220
2147,1565
2148,64790
2149,441
2150,989
2151,59758
2152,6441
2153,3448
2154,17156
2155,17626
2156,2468
2157,75379
2158,9623
2159,954
2160,11997
2161,7743
2162,906
2163,2922
2164,756
2165,6468
2166,5461
2167,8418
2168,2461
2169,6570
2170,30608
2171,1023
2172,1031
2173,5763
2174,7322
2175,4311
2176,31330
2177,1882
2178,433
2179,635
2180,709
2181,4782
2182,718
2183,1043
2184,38664
2185,11159
2186,1490
2187,291
2188,907
2189,745
2190,296
2191,1279
2192,924
2193,240
2194,432
2195,203
2196,7204
2197,297
2198,790
2199,841
2200,6524
2201,331
2202,728
2203,445
2204,269
2205,225
2206,512
2207,5682
2208,165
2209,363
2210,570
2211,1440
2212,954
2213,15477
2214,765
2215,807
2216,400
2217,405
2218,901
2219,800
2220,765
2221,2527
2222,3041
2223,556
2224,5544
2225,8073
2226,826
2227,1669
2228,2043
2229,2364
2230,2213
2231,40754
2232,443
2233,655
2234,2882
2235,1154
2236,19658
2237,433
2238,8236
2239,1178
2240,1270
2241,1333
2242,1215
2243,453
2244,14212
2245,8822
2246,1133
2247,2192
2248,270
2249,81533
2250,1487
2251,9223
2252,11668
2253,861
2254,57095
2255,1406
2256,390
2257,16531
2258,823
2259,1286
2260,23768
2261,1063
2262,6475
2263,11560
2264,751
2265,651
2266,1669
2267,1745
2268,2042
2269,691
2270,14963
2271,686
2272,6378
2273,6637
2274,8341
2275,584
2276,17272
2277,2542
2278,4259
2279,25969
2280,21847
2281,684
2282,464
2283,6782
2284,360
2285,865
2286,2796
2287,1914
2288,1339
2289,834
2290,3638
2291,7365
2292,10146
2293,21527
2294,849
2295,8637
2296,777
2297,2548
2298,474
2299,7302
2300,1798
2301,3656
2302,8363
2303,3083
2304,519
2305,7435
2306,946
2307,561
2308,28020
2309,973
2310,528
2311,10786
2312,7188
2313,3932
2314,1245
2315,577
2316,5598
2317,9106
2318,594
2319,8513
2320,10644
2321,4110
2322,1739
2323,821
2324,800
2325,3207
2326,2035
2327,1903
2328,64086
2329,2413
2330,1458
2331,531
2332,1438
2333,990
2334,1051
2335,703
2336,689
2337,743
2338,994
2339,3277
2340,16775
2341,674
2342,1030
2343,1882
2344,3731
2345,2003
2346,824
2347,812
2348,8297
2349,854
2350,23116
2351,11754
2352,3562
2353,13317
2354,1913
2355,1005
2356,3312
2357,1749
2358,1257
2359,210
2360,1194
2361,753
2362,958
2363,8972
2364,558
2365,570
2366,2598
2367,1072
2368,2685
2369,2007
2370,3590
2371,1679
2372,16926
2373,2829
2374,1857
2375,2317
2376,947
2377,8291
2378,985
2379,1342
2380,3314
2381,29772
2382,1311
2383,508
2384,480
2385,1301
2386,990
2387,809
2388,2015
2389,5800
2390,1032
2391,3243
2392,28164
2393,14204
2394,1140
2395,1242
2396,811
2397,6603
2398,671
2399,1371
2400,489
2401,1201
2402,1120
2403,421
2404,452
2405,703
2406,5560
2407,459
2408,1694
2409,62700
2410,1271
2411,2594
2412,2399
2413,21059
2414,10620
2415,3052
2416,18488
2417,18155
2418,1252
2419,6504
2420,6111
2421,518
2422,34465
2423,672
2424,2463
2425,2633
2426,703
2427,330
2428,657
2429,13547
2430,2651
2431,458
2432,5375
2433,631
2434,7005
2435,824
2436,1349
2437,395
2438,11257
2439,488
2440,317
2441,3246
2442,4522
2443,5011
2444,1792
2445,3379
2446,1078
2447,976
2448,905
2449,24055
2450,2716
2451,2417
2452,7633
2453,10710
2454,9602
2455,15114
2456,900
2457,13571
2458,30294
2459,1722
2460,1521
2461,660
2462,1697
2463,1071
2464,576
2465,3647
2466,2128
2467,1486
2468,549
2469,1025
2470,861
2471,797
2472,5843
2473,2024
2474,995
2475,1248
2476,1561
2477,812
2478,10841
2479,1815
2480,436
2481,271
2482,544
2483,263
2484,633
2485,321
2486,178
2487,333
2488,1127
2489,174
2490,176
2491,275
2492,246
2493,289
2494,384
2495,307
2496,179
2497,273
2498,2974
2499,438
2500,466
2501,294
2502,305
2503,777
2504,2434
2505,337
2506,615
2507,249
2508,3517
2509,667
2510,3977
2511,372
2512,1026
2513,374
2514,414
2515,590
2516,3210
2517,1042
2518,328
2519,553
2520,418
2521,469
2522,831
2523,349
2524,282
2525,273
2526,1451
2527,27799
2528,512
2529,365
2530,558
2531,428
2532,1836
2533,448
2534,1993
2535,450
2536,5340
2537,253
2538,328
2539,5524
2540,1127
2541,1178
2542,496
2543,447
2544,1418
2545,1187
2546,3461
2547,558
2548,5167
2549,942
2550,787
2551,484
2552,5359
2553,567
2554,1786
2555,1018
2556,1395
2557,615
2558,1643
2559,508
2560,420
2561,577
2562,450
2563,616
2564,637
2565,6608
2566,2223
2567,320
2568,7974
2569,738
2570,5041
2571,756
2572,10448
2573,790
2574,701
2575,6934
2576,3720
2577,582
2578,895
2579,3579
2580,1411
2581,799
2582,4783
2583,5765
2584,8804
2585,5569
2586,2074
2587,422
2588,2589
2589,399
2590,784
2591,10623
2592,350
2593,12409
2594,6402
2595,485
2596,1458
2597,13040
2598,18211
2599,27400
2600,13366
2601,703
2602,7778
2603,31865
2604,3013
2605,7941
2606,548
2607,1589
2608,14316
2609,50249
2610,11723
2611,2061
2612,2014
2613,3331
2614,1423
2615,291
2616,6608
2617,2020
2618,1303
2619,1442
2620,617
2621,823
2622,1957
2623,1682
2624,1035
2625,2445
2626,371
2627,353
2628,264
2629,423
2630,457
2631,459
2632,1586
2633,1133
2634,326
2635,894
2636,915
2637,915
2638,1218
2639,25923
2640,227
2641,1016
2642,1738
2643,624
2644,90654
2645,15291
2646,2104
2647,107
2648,1688
2649,814
2650,476
2651,478
2652,2680
2653,1134
2654,3044
2655,3772
2656,2446
2657,412
2658,642
2659,1121
2660,1314
2661,1079
2662,550
2663,1337
2664,464
2665,1056
2666,27651
2667,247
2668,629
2669,1150
2670,1479
2671,531
2672,8939
2673,614
2674,1959
2675,1480
2676,2106
2677,773
2678,1005
2679,971
2680,809
2681,1795
2682,660
2683,1063
2684,541
