,Intercept
2221,16.1109634521
2222,16.0717408007
2223,16.0536702589
2224,16.0827939216
2225,16.0777688337
2226,16.0727453159
2227,16.1159989149
2228,16.1947562246
2229,16.2129855774
2230,16.2983275785
2231,16.4333449619
2232,16.5839854868
2233,16.6234192614
2234,16.6514949636
2235,16.6577404452
2236,16.6566993689
2237,16.6556583578
2238,16.6858741133
2239,16.6858741133
2240,16.6223803302
2241,16.5705164711
2242,16.5363750014
2243,16.5943537175
2244,16.689003008
2245,16.7203242431
2246,16.7036122763
2247,16.7265955405
2248,16.7632250171
2249,16.6837885094
2250,16.5746596181
2251,16.4981788156
2252,16.4076879102
2253,16.4015361807
2254,16.5353415102
2255,16.4858098204
2256,16.4961166721
2257,16.4169198309
2258,16.3524053053
2259,16.2018429806
2260,16.2180529272
2261,16.1866608705
2262,16.1785695631
2263,16.2038683375
2264,16.1785695631
2265,16.1401910529
2266,16.0256009038
2267,15.9815910426
2268,15.9267486378
2269,15.856230269
2270,15.7909580357
2271,15.7761609498
2272,15.769260389
2273,15.7456242299
2274,15.7210409028
2275,15.69355314
2276,15.6045494009
2277,15.5597507502
2278,15.526721386
2279,15.5461419231
2280,15.5208999571
2281,15.5160504336
2282,15.4918255355
2283,15.4773087548
2284,15.48601719
2285,15.4232328622
2286,15.4126330337
2287,15.3376792959
2288,15.244023125
2289,15.1679932425
2290,15.1736823066
2291,15.1888635782
2292,15.2069110673
2293,15.1651495103
2294,15.1339036229
2295,15.1660973618
2296,15.3108618292
2297,15.3559036086
2298,15.4280533756
2299,15.459906573
2300,15.4618391821
2301,15.4724728515
2302,15.4531443433
2303,15.5432272947
2304,15.5306035516
2305,15.5325449984
2306,15.5170202171
2307,15.5160504336
2308,15.5675325709
2309,15.6260204142
2310,15.6533898912
2311,15.7063093335
2312,15.6817873879
2313,15.6690511104
2314,15.738737026
2315,15.8671351755
2316,15.9426833524
2317,16.0346178401
2318,16.100897246
2319,16.2109590809
2320,16.398461181
2321,16.4755094085
2322,16.5736237342
2323,16.6910892638
2324,16.7894380298
2325,16.9010373212
2326,17.0027483732
2327,17.0506359133
2328,17.0240150976
2329,17.0517016113
2330,16.9868157662
2331,16.8862553816
2332,16.8125393856
2333,16.8567302767
2334,16.8525166209
2335,16.8714863705
2336,16.9613546431
2337,17.0101887031
2338,17.0623622559
2339,17.0997270262
2340,17.1393159019
2341,17.1951092938
2342,17.2931851166
2343,17.3744372077
2344,17.3972561281
2345,17.4538891894
2346,17.5194641501
2347,17.5446664896
2348,17.5085179061
2349,17.5874837766
2350,17.6778509992
2351,17.7820140531
2352,17.8343255143
2353,17.8421297387
2354,17.6039797739
2355,17.6160866713
2356,17.6425306293
2357,17.7398318809
2358,17.7287479501
2359,17.7509227414
2360,17.7986925081
2361,17.7586904691
2362,17.7110280636
2363,17.6900087004
2364,17.759800422
2365,17.766461596
2366,17.7998049612
2367,17.8744979237
2368,17.8979736048
2369,18.0068096456
2370,17.9921850548
2371,17.9483825098
2372,17.9629714966
2373,17.9349262696
2374,18.0146893484
2375,18.0835014413
2376,18.2116682264
2377,18.3774615862
2378,18.4580391154
2379,18.63073246
2380,19.0284932394
2381,19.3064164653
2382,19.7124418031
2383,20.1068891475
2384,20.4516282429
2385,20.9104701992
2386,21.2012999883
2387,21.6498819115
2388,22.1093368234
2389,22.44908823
2390,22.7897870682
2391,23.1255368901
2392,23.4691665983
2393,23.7732856839
2394,24.0723168058
2395,24.3812038153
2396,24.5754997123
2397,24.9064050172
2398,25.3255178981
2399,25.5193630676
2400,25.6857791941
2401,25.8662104209
2402,26.1653888194
2403,26.3755514596
2404,26.5342804793
2405,26.7106536786
2406,26.8848384146
2407,27.0246658778
2408,27.1278940702
2409,27.2996805321
2410,27.3902606643
2411,27.5172340195
2412,27.7555966239
2413,27.9365956114
2414,28.1416307128
2415,28.2897627805
2416,28.4813646079
2417,28.6903979333
2418,28.9081915618
2419,29.0494630652
2420,29.1476706351
2421,29.3084244914
2422,29.5253731368
2423,29.6474168431
2424,29.8221080701
2425,29.9641000474
2426,30.1651564997
2427,30.3410020278
2428,30.6401885937
2429,30.9056031753
2430,31.1733168584
2431,31.4158486608
2432,31.676101479
2433,31.8687211326
2434,32.1066283669
2435,32.3746270415
2436,32.6448627399
2437,32.935875355
2438,33.2170234823
2439,33.2544136618
2440,33.2960076697
2441,33.3960456747
2442,33.4211021039
2443,33.3793518257
2444,33.3584962488
2445,33.308496014
2446,33.2814438524
2447,33.3397373711
2448,33.3981329928
2449,33.3772656814
2450,33.3126598362
2451,33.2481790437
2452,33.2606494489
2453,33.3418211698
2454,33.3960456747
2455,33.4419968217
2456,33.4524490787
2457,33.3480733474
2458,33.3230716692
2459,33.3126598362
2460,33.3230716692
2461,33.3147419425
2462,33.3668369154
2463,33.4127478727
2464,33.4399067622
2465,33.5340888815
2466,33.6369444459
2467,33.6222315014
2468,33.6748073022
2469,33.6327400906
2470,33.6684938678
2471,33.9240770585
2472,34.1474359088
2473,34.4733823441
2474,34.778521571
2475,35.1258560891
2476,35.2754586577
2477,35.3615474663
2478,35.472225146
2479,35.4766594513
2480,35.2622328407
2481,35.1917788525
2482,35.0096941902
2483,34.867755815
2484,34.7589641536
2485,34.3808595123
2486,34.1047782805
2487,33.7633197932
2488,33.4294584239
2489,33.2564921276
2490,33.0575505962
2491,32.8084957953
2492,32.433359263
2493,32.12067809
2494,31.8070352629
2495,31.4197758874
2496,31.142159123
2497,30.6497651489
2498,30.0879572399
2499,29.893019751
2500,29.7290594466
2501,29.5456788102
2502,29.3560893985
2503,29.0985254188
2504,28.9714974464
2505,28.7137183542
2506,28.5062967082
2507,28.3021422595
2508,28.2455945416
2509,27.9593033191
2510,27.6966786037
2511,27.4519581345
2512,27.170314537
2513,26.9538191569
2514,26.6606181259
2515,26.4134935792
2516,26.1212719598
2517,25.9066579661
2518,25.8080768723
2519,25.7179064934
2520,25.5864393948
2521,25.3587794635
2522,25.139429249
2523,25.0453329302
2524,24.8628569241
2525,24.6925110178
2526,24.5371304778
2527,24.4010215933
2528,24.0768307884
2529,23.7747715606
2530,23.4662331358
2531,23.2066180786
2532,22.8625454114
2533,22.6096091604
2534,22.2924933339
2535,22.0224524755
2536,21.7407308743
2537,21.4317828469
2538,21.1404337879
2539,21.0784248838
2540,21.045515562
2541,21.0034665939
2542,21.1510066478
2543,21.1140247548
2544,21.2583551155
2545,21.2344529135
2546,21.2012999883
2547,21.1113856666
2548,21.0534091103
2549,21.0047793516
2550,20.9418594406
2551,20.9274668602
2552,20.8765182786
2553,20.7775899575
2554,20.6855936698
2555,20.628786433
2556,20.5721352014
2557,20.5862834073
2558,20.6171860035
2559,20.6184746179
2560,20.5657074136
2561,20.5965791227
2562,20.5927176261
2563,20.5952918767
2564,20.5015398919
2565,20.4005630304
2566,20.3064282808
2567,20.2203090935
2568,20.1673003865
2569,20.1194598812
2570,20.1635193722
2571,19.9941053977
2572,19.8484317704
2573,19.5431530995
2574,19.1202885684
2575,18.7054046347
2576,18.4165552143
2577,18.1923286049
2578,18.0484985772
2579,18.0056842552
2580,17.8912631229
2581,17.8454754517
2582,17.681165907
2583,17.5304172377
2584,17.3733513393
2585,17.3581563056
2586,17.382040187
2587,17.3440585316
2588,17.3527327293
2589,17.259712008
2590,17.1146958352
2591,17.0399825953
2592,17.0197596258
2593,16.9900010927
2594,16.9783244813
2595,17.0144417818
2596,17.0965211279
2597,17.2629485074
2598,17.4157505362
2599,17.450616892
2600,17.4288172485
2601,17.4201050181
2602,17.3234746862
2603,17.2877818406
2604,17.25000615
2605,17.3137329718
2606,17.395081607
2607,17.5655131564
2608,17.601779414
2609,17.6679100041
2610,17.705494232
2611,17.7786802381
2612,17.8231825434
2613,17.9125216176
2614,18.091414704
2615,18.2915188207
2616,18.4938362335
2617,18.6295680757
2618,18.6202556199
2619,18.5551986414
2620,18.5401286655
2621,18.5470825175
2622,18.5772460278
2623,18.5633183168
2624,18.6121110399
2625,18.6913808408
2626,18.7018977001
2627,18.7557430215
2628,18.7850717771
2629,18.7545708242
2630,18.8156223344
2631,18.9217584379
2632,18.9655656369
2633,18.9750507908
2634,19.0689717807
2635,19.0606309303
2636,18.9987844347
2637,18.9952224966
2638,18.9762367685
2639,18.9904742845
2640,18.9869139044
2641,18.9904742845
2642,18.8085677988
2643,18.8544696029
2644,18.7451958828
2645,18.7369966533
2646,18.7311422566
2647,18.7030666052
2648,18.7124204768
2649,18.7124204768
2650,18.7698151052
2651,18.7428528797
2652,18.820326828
2653,18.7545708242
2654,18.7147596756
2655,18.698391423
2656,18.7369966533
2657,18.7054046347
2658,18.6890445642
2659,18.6656978532
2660,18.684372887
2661,18.7405101695
2662,18.8215031352
2663,18.9679364808
2664,19.1023716977
2665,19.2497870821
2666,19.4468966099
2667,19.5394891018
2668,19.5969707359
2669,19.7494373039
2670,19.7976352748
2671,19.8732578231
2672,19.8819542756
2673,19.999104549
2674,20.1975740367
2675,20.3038901359
2676,20.4784886283
2677,20.6313651924
2678,20.6998199052
2679,20.5759928384
2680,20.4861695016
2681,20.2962776046
2682,20.1975740367
2683,20.0905589351
2684,19.9666323948
2685,20.1018630535
2686,20.2481311418
2687,20.2139912342
2688,20.1244903749
2689,19.9741212861
2690,19.9205129036
2691,19.8385100351
2692,19.8310719886
2693,19.7877389314
2694,19.7556099675
2695,19.7395650535
2696,19.6263882496
2697,19.5065440192
2698,19.4128943015
2699,19.2822985216
2700,19.195723119
2701,19.1525812947
2702,19.154975517
2703,19.1597648595
2704,19.132242484
2705,19.0642051336
2706,18.9904742845
2707,18.8167983475
2708,18.6773675608
2709,18.6190918903
2710,18.6517038282
2711,18.6144376991
2712,18.628403764
2713,18.5204402401
2714,18.3395971328
2715,18.1707380366
2716,18.0293322314
2717,17.8477062756
2718,17.695537692
2719,17.5666110352
2720,17.4702598831
2721,17.5951799842
2722,17.4822748164
2723,17.3505637732
2724,17.2155406147
2725,17.0506359133
2726,16.9116037712
2727,16.7799966266
2728,16.7558927103
2729,16.7988847453
2730,16.7642727514
2731,16.6900461033
2732,16.6525357146
2733,16.5850220183
2734,16.5353415102
2735,16.5167497109
2736,16.5250101507
2737,16.5850220183
2738,16.580876281
2739,16.5518851222
2740,16.5405096119
2741,16.42205092
2742,16.3054596568
2743,16.2871263291
2744,16.1917199925
2745,16.166440185
2746,16.1876725684
2747,16.2129855774
2748,16.2779673967
2749,16.2840727792
2750,16.2535687492
2751,16.2861084155
2752,16.2018429806
2753,16.2434134426
2754,16.2586487832
2755,16.2922168514
2756,16.2434134426
2757,16.3176933386
2758,16.3105559092
2759,16.3125948561
2760,16.2657634982
2761,16.1603789065
2762,16.011584636
2763,15.807744845
2764,15.6906108747
2765,15.5694786341
2766,15.3213916659
2767,15.2592747727
2768,15.1376875718
2769,14.981445968
2770,14.8351594216
2771,14.7556343548
2772,14.6958111883
2773,14.5550425415
2774,14.3562803283
2775,14.3016512124
2776,14.1266417448
2777,13.9476704292
2778,13.8037114271
2779,13.7597821465
2780,13.7151354447
2781,13.7322900834
2782,13.8045741861
2783,13.840858796
2784,13.8547065776
2785,13.6313869816
2786,13.3823610464
2787,13.4460784705
2788,13.4881631888
2789,13.6186135447
2790,13.6373520181
2791,13.6672163779
2792,13.5617048363
2793,13.592253026
2794,13.5973510767
2795,13.5117881402
2796,13.5888553875
2797,13.5523843685
2798,13.4788932635
2799,13.5659435313
2800,13.6186135447
2801,13.6058520774
2802,13.5320710308
2803,13.5202356473
2804,13.6016009129
2805,13.72885744
2806,13.8833113985
2807,13.9511577827
2808,14.1028231395
2809,14.1301738467
2810,14.0351163532
2811,14.0035728412
2812,13.9102363894
2813,13.8703018932
2814,13.8235685312
2815,13.7692452492
2816,13.6997145931
2817,13.7211371292
2818,13.7529039751
2819,13.7520444454
2820,13.6988583877
2821,13.4822634081
2822,13.4831060759
2823,13.592253026
2824,13.6313869816
2825,13.6450251865
2826,13.643319665
2827,13.6067024698
2828,13.5566201504
2829,13.8348047447
2830,13.8633684757
2831,13.7993984413
2832,13.7847443668
2833,13.7847443668
2834,13.7761315933
2835,13.8097518721
2836,13.8373990138
2837,13.7572024292
2838,13.6980022358
2839,13.7279994132
2840,13.655262794
2841,13.7348651292
2842,13.8062998657
2843,13.7340067269
2844,13.7666637578
2845,13.7666637578
2846,13.708279591
2847,13.708279591
2848,13.592253026
2849,13.519390659
2850,13.5396849619
2851,13.5160112338
2852,13.514321838
2853,13.5617048363
2854,13.6339431062
2855,13.5931025684
2856,13.6041514522
2857,13.5701835511
2858,13.5931025684
2859,13.6638000009
2860,13.7589221869
2861,13.8037114271
2862,13.7787148602
2863,13.7812986114
2864,13.7417342789
2865,13.748606864
2866,13.7968112966
2867,13.7503255473
2868,13.7365820946
2869,13.7933625249
2870,13.8547065776
2871,13.8391287968
2872,13.7640827503
2873,13.7451701419
2874,13.6997145931
2875,13.6092539657
2876,13.6322389699
2877,13.6937222789
2878,13.8019860711
2879,13.8037114271
2880,13.8460500914
2881,13.8503776582
2882,13.7830213814
2883,13.763222522
2884,13.7322900834
2885,13.708279591
2886,13.7194220942
2887,13.6578233958
2888,13.6271278387
2889,13.5489966959
2890,13.5236161288
2891,13.5067221696
2892,13.5557728881
2893,13.5253066865
